entities,author_id,id,created_at,public_metrics,text,edit_history_tweet_ids,username,name
"{'mentions': [{'start': 0, 'end': 12, 'username': 'ma_patino98', 'id': '1885319425160531968'}, {'start': 13, 'end': 20, 'username': 'Hora20', 'id': '143285665'}, {'start': 21, 'end': 34, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 35, 'end': 47, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 48, 'end': 59, 'username': 'JDOviedoAr', 'id': '219434063'}]}",323019531,1970876945568350257,2025-09-24 15:44:15+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 66}","@ma_patino98 @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr Tiene con qué, debe armar equipo, escribir un plan de gobierno, ser más puntual y dejar de 'hablarle al uribismo'.",['1970876945568350257'],cuervoji,Jorge Iván Cuervo R.
"{'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1885319425160531968,1970873124255084631,2025-09-24 15:29:04+00:00,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 83}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr En cambio a mí me parece Pipe un hombre confiable, no sé por qué, pero ese tipo me agrada y se nota muy preparado.",['1970873124255084631'],ma_patino98,Mariana Patiño
"{'annotations': [{'start': 44, 'end': 54, 'probability': 0.9149, 'type': 'Person', 'normalized_text': 'Juan Daniel'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 28, 'username': 'consejodeestado', 'id': '190713465'}, {'start': 29, 'end': 43, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",334122927,1970873069401989259,2025-09-24 15:28:51+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 11}","@JDOviedoAr @consejodeestado @ConTodaPorCol Juan Daniel, hubiera sido mejor seguir por la Alcaldía Mayor como meta, lo otro es un traspiés…",['1970873069401989259'],davidvaniato,Iván G
"{'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1773018562484965376,1970870207200838086,2025-09-24 15:17:29+00:00,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 42}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr A mí realmente si me gustaría sus propuestas, muy concretas y muy claras. Eso es lo que el país necesita en temas de seguridad y salud.",['1970870207200838086'],luzclaritaout,Luz Clarita
"{'annotations': [{'start': 196, 'end': 203, 'probability': 0.3551, 'type': 'Person', 'normalized_text': 'Guárdese'}, {'start': 205, 'end': 210, 'probability': 0.4838, 'type': 'Person', 'normalized_text': 'Cuervo'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1720498037934493696,1970869517795696775,2025-09-24 15:14:44+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 30}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr Que descalifique a un candidato tildándolo de “culebrero”, habla mal es de usted y de su poca estatura mental para comprender contenidos.

Guárdese Cuervo, no saque su resentimiento que eso envejece y enferma",['1970869517795696775'],PaolaWarrior_,Paola Warrior
"{'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1541235644046999556,1970869170092016102,2025-09-24 15:13:21+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 30}",@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr 🤣🤣🤣payaso sin circo 🤡,['1970869170092016102'],MaryJo0481,Maria Jose
"{'annotations': [{'start': 62, 'end': 72, 'probability': 0.441, 'type': 'Place', 'normalized_text': 'Colombianos'}, {'start': 173, 'end': 180, 'probability': 0.981, 'type': 'Place', 'normalized_text': 'Colombia'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'UltimaHoraCR', 'id': '1297930090135920640'}, {'start': 14, 'end': 25, 'username': 'JDOviedoAr', 'id': '219434063'}]}",128580556,1970862216623858077,2025-09-24 14:45:43+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 111}",@UltimaHoraCR @JDOviedoAr Busquemos la conciliación entre los Colombianos. Dejemos que la Justicie actúe. No pensar en mas políticos y buscar la persona idónea que quiera a Colombia y la apoyamos.,['1970862216623858077'],jabe7700,jabe7700
"{'annotations': [{'start': 39, 'end': 44, 'probability': 0.6643, 'type': 'Person', 'normalized_text': 'Daniel'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'UltimaHoraCR', 'id': '1297930090135920640'}, {'start': 14, 'end': 25, 'username': 'JDOviedoAr', 'id': '219434063'}]}",316511555,1970861976654852460,2025-09-24 14:44:46+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 304}",@UltimaHoraCR @JDOviedoAr Muy bien por Daniel,['1970861976654852460'],josemauriciopar,jose mauricio parra
"{'urls': [{'start': 159, 'end': 182, 'url': 'https://t.co/6jNNJNdorq', 'expanded_url': 'https://x.com/leomendozagp0/status/1970861545715568767/photo/1', 'display_url': 'pic.x.com/6jNNJNdorq', 'media_key': '3_1970861542951337984'}, {'start': 183, 'end': 206, 'url': 'https://t.co/DUSDLEeMYY', 'expanded_url': 'https://twitter.com/Maryaristizabal/status/1970577749787263287', 'display_url': 'x.com/Maryaristizaba…'}], 'mentions': [{'start': 61, 'end': 72, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 142, 'end': 158, 'username': 'Maryaristizabal', 'id': '118229129'}]}",3041824643,1970861545715568767,2025-09-24 14:43:03+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 8}",Así engañan al pueblo y le lavan la cara a los ladrones como @JDOviedoAr el fallo es claro ratifica la sentencia no lo contrario pr3p@g0 hpt@ @Maryaristizabal https://t.co/6jNNJNdorq https://t.co/DUSDLEeMYY,['1970861545715568767'],leomendozagp0,Tuyo
"{'mentions': [{'start': 0, 'end': 15, 'username': 'sandranaranjo2', 'id': '323461139'}, {'start': 16, 'end': 29, 'username': 'UltimaHoraCR', 'id': '1297930090135920640'}, {'start': 30, 'end': 41, 'username': 'JDOviedoAr', 'id': '219434063'}]}",3185010358,1970860614601118167,2025-09-24 14:39:21+00:00,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 7}",@sandranaranjo2 @UltimaHoraCR @JDOviedoAr Esta buscando puesto la abogada...,['1970860614601118167'],jbojaca2004,Jorge Eliécer Bojacá
