entities,author_id,id,text,edit_history_tweet_ids,public_metrics,created_at,username,name
"{'annotations': [{'start': 218, 'end': 223, 'probability': 0.7801, 'type': 'Person', 'normalized_text': 'Julian'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'MargaritaArval7', 'id': '917589093374156800'}, {'start': 17, 'end': 32, 'username': 'julianclavijoo', 'id': '176826801'}, {'start': 50, 'end': 66, 'username': 'MargaritaArval7', 'id': '917589093374156800'}, {'start': 68, 'end': 83, 'username': 'julianclavijoo', 'id': '176826801'}, {'start': 137, 'end': 152, 'username': 'CamaraColombia', 'id': '338472735'}, {'start': 175, 'end': 186, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 311, 'end': 334, 'url': 'https://t.co/1SJMXvQUJb', 'expanded_url': 'https://x.com/CxRamirezMiguel/status/1967901118773461306/video/1', 'display_url': 'pic.x.com/1SJMXvQUJb', 'media_key': '13_1967901045176098816'}]}",1399484619574198272,1967901118773461306,"@MargaritaArval7 @julianclavijoo Así es apreciada @MargaritaArval7, @julianclavijoo debió por meritocracia hacer parte de la lista a la  @CamaraColombia del movimiento del Dr @JDOviedoAr, Ud lo dijo fue su coequipero, Julian es un líder social y deportivo muy reconocido en todas las localidades de la Capital, https://t.co/1SJMXvQUJb",['1967901118773461306'],"{'retweet_count': 3, 'reply_count': 1, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 108}",2025-09-16 10:39:23+00:00,CxRamirezMiguel,Miguel Ramirez Gomez
"{'annotations': [{'start': 27, 'end': 31, 'probability': 0.9805, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 183, 'end': 192, 'probability': 0.484, 'type': 'Organization', 'normalized_text': 'colombiana'}, {'start': 217, 'end': 221, 'probability': 0.9806, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",193375301,1967900898002350216,@JDOviedoAr @ConTodaPorCol Trump que se pasó parte de su vida consumiendo coca y violando niñas decertifica a un país que pone los muertos en la lucha contra las drogas. Y la derecha colombiana celebra la decisión de Trump. Hipócritas de mierda!,['1967900898002350216'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}",2025-09-16 10:38:30+00:00,carlosnejra,Carlos Nejra
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",2657601269,1967900609430073723,@JDOviedoAr @ConTodaPorCol La lucha interminable contra el narcotráfico no se resuelve con eso ni debe depender del concepto político de un país que no controla el consumo de drogas en su propio patio.,['1967900609430073723'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 66}",2025-09-16 10:37:21+00:00,gabrielcardonah,DOC CALIGARY🇵🇸🇵🇸🇵🇸
"{'annotations': [{'start': 149, 'end': 151, 'probability': 0.9847, 'type': 'Place', 'normalized_text': 'USA'}, {'start': 189, 'end': 193, 'probability': 0.576, 'type': 'Place', 'normalized_text': 'LATAM'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1711620199,1967897412061782229,"@JDOviedoAr @ConTodaPorCol Muy fácil decirlo desde una oficina, siendo un don nadie 😉 claramente esto fue tema político gobierna la ultra derecha en USA no quiere gobiernos progresistas en LATAM ni en el mundo es una estrategia rastrera, además que el gobierno actual es el que les ha destapado el negocio",['1967897412061782229'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 25}",2025-09-16 10:24:39+00:00,wmonroe96,Billy Monroe
"{'annotations': [{'start': 136, 'end': 141, 'probability': 0.9682, 'type': 'Place', 'normalized_text': 'Bogotá'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1388231224267878400,1967896476165742981,"@JDOviedoAr @ConTodaPorCol Usted no sabe ni mierda de ese tema,  no sabe ni siquiera donde son los sectores de microtráfico en su misma Bogotá, con que autoridad habla de narcotráfico a nivel nacional y por ahí derecho, NARCOTRÁFICO A ESCALA MUNDIAL!?  Leer graficas e informes no cuenta, le falta calle.",['1967896476165742981'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 129}",2025-09-16 10:20:56+00:00,Andrey98238727,Andrey
"{'annotations': [{'start': 260, 'end': 267, 'probability': 0.9768, 'type': 'Place', 'normalized_text': 'Colombia'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 144, 'end': 157, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 161, 'end': 176, 'username': 'sergio_fajardo', 'id': '25185308'}]}",150378751,1967896250650595393,@JDOviedoAr @ConTodaPorCol por lo menos este señor plantea ideas.. aunque ya se se estan haciendo.. pero no actua como carroñero como ese señor @MauricioCard  y @sergio_fajardo .. asi debe actuar un candidato.. sin oportunismo.. solo resolver.. por el bien de Colombia.. no por sus intereses propios,['1967896250650595393'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 59}",2025-09-16 10:20:02+00:00,bettysensatez,Beatriz cardona
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1532737739552182272,1967895214376489325,@JDOviedoAr @ConTodaPorCol LEGALIZACIÓN YA,['1967895214376489325'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 14}",2025-09-16 10:15:55+00:00,ANDRESC72416762,ANDRES CAMILO MONTENEGRO GARCIA
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",3243363825,1967893514148254026,@JDOviedoAr @ConTodaPorCol Neneco ladrón vividor. Regrese los salarios que cobró como concejal.,['1967893514148254026'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 12}",2025-09-16 10:09:10+00:00,527ElduroJadin,Jadin
"{'annotations': [{'start': 58, 'end': 60, 'probability': 0.9962, 'type': 'Place', 'normalized_text': 'USA'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",328118817,1967891466270962109,@JDOviedoAr @ConTodaPorCol Cuándo vamos a descertificar a USA por su falla en la lucha contra el consumo?,['1967891466270962109'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 35}",2025-09-16 10:01:01+00:00,jforero2,jforero
"{'annotations': [{'start': 60, 'end': 64, 'probability': 0.9299, 'type': 'Person', 'normalized_text': 'Petro'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",536067652,1967890368537702790,"@JDOviedoAr @ConTodaPorCol Eso es lo que ha estado haciendo Petro  ,, lo que pasa es que 4 años no es suficiente para un problema estructural de decadas 

Gran imbecil!!",['1967890368537702790'],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 12, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 104}",2025-09-16 09:56:40+00:00,potogalindo,Ricardo Galindo Lopez 🚇🇺🇸🇨🇴
